date,time,planet1,planet2,aspect,aspect_abbrev,angle,planet1_lon,planet2_lon,description
2025.08.18,00:00,Saturn,Uranus,Sextile,Sext,60.9882,357.3631,58.3513,Saturn-Uranus Sext
2025.08.19,00:00,Saturn,Uranus,Sextile,Sext,60.9662,357.3965,58.3627,Saturn-Uranus Sext
2025.08.20,00:00,Saturn,Uranus,Sextile,Sext,60.9443,357.4298,58.3741,Saturn-Uranus Sext
2025.08.21,00:00,Saturn,Uranus,Sextile,Sext,60.9223,357.4632,58.3855,Saturn-Uranus Sext
2025.08.22,00:00,Saturn,Uranus,Sextile,Sext,60.9004,357.4965,58.3969,Saturn-Uranus Sext
2025.08.23,00:00,Saturn,Uranus,Sextile,Sext,60.8784,357.5299,58.4083,Saturn-Uranus Sext
2025.08.24,00:00,Saturn,Uranus,Sextile,Sext,60.8565,357.5632,58.4197,Saturn-Uranus Sext
2025.08.25,00:00,Saturn,Uranus,Sextile,Sext,60.8345,357.5965,58.4311,Saturn-Uranus Sext
2025.08.26,00:00,Saturn,Uranus,Sextile,Sext,60.8126,357.6299,58.4425,Saturn-Uranus Sext
2025.08.27,00:00,Saturn,Uranus,Sextile,Sext,60.7906,357.6632,58.4539,Saturn-Uranus Sext
2025.08.28,00:00,Saturn,Uranus,Sextile,Sext,60.7687,357.6966,58.4653,Saturn-Uranus Sext
2025.08.29,00:00,Saturn,Uranus,Sextile,Sext,60.7467,357.7300,58.4767,Saturn-Uranus Sext
2025.08.30,00:00,Saturn,Uranus,Sextile,Sext,60.7247,357.7633,58.4881,Saturn-Uranus Sext
2025.08.31,00:00,Saturn,Uranus,Sextile,Sext,60.7028,357.7967,58.4994,Saturn-Uranus Sext
2025.09.01,00:00,Saturn,Uranus,Sextile,Sext,60.6808,357.8301,58.5108,Saturn-Uranus Sext
2025.09.02,00:00,Saturn,Uranus,Sextile,Sext,60.6588,357.8634,58.5222,Saturn-Uranus Sext
2025.09.03,00:00,Saturn,Uranus,Sextile,Sext,60.6369,357.8968,58.5336,Saturn-Uranus Sext
2025.09.04,00:00,Saturn,Uranus,Sextile,Sext,60.6149,357.9302,58.5450,Saturn-Uranus Sext
2025.09.05,00:00,Saturn,Uranus,Sextile,Sext,60.5929,357.9635,58.5564,Saturn-Uranus Sext
2025.09.06,00:00,Saturn,Uranus,Sextile,Sext,60.5709,357.9969,58.5678,Saturn-Uranus Sext
2025.09.07,00:00,Saturn,Uranus,Sextile,Sext,60.5490,358.0303,58.5792,Saturn-Uranus Sext
