Symbol,Bid,Ask,Spread,Digits,Point,TickSize,TickValue,BaseCurrency,ProfitCurrency,Description,SpreadType,Selected,Visible,SessionHigh,SessionLow,Volume,Time,GannCategory,Price360Range,DegreePerPoint
AUDCAD-,0.89846,0.89852,0.00005999999999994898,5,0.00001,0.00001,0.7316948247225049,AUD,CAD,Australian Dollar vs Canadian Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
AUDCHF-,0.52295,0.52302,0.0000700000000000145,5,0.00001,0.00001,1.2570552224359215,AUD,CHF,Australian Dollar vs Swiss Franc,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
AUDJPY-,96.777,96.784,0.007000000000005002,3,0.001,0.001,0.6793062924141866,AUD,JPY,Australian Dollar vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
AUDNZD-,1.09276,1.0929,0.000140000000000029,5,0.00001,0.00001,0.60161,AUD,NZD,Australian Dollar vs New Zealand Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
AUDUSD-,0.65746,0.65749,0.00002999999999997449,5,0.00001,0.00001,1.0,AUD,USD,Australian Dollar vs US Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
CADCHF-,0.58207,0.58211,0.000040000000000040004,5,0.00001,0.00001,1.2570552224359215,CAD,CHF,Canadian Dollar vs Swiss Franc,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
CADJPY-,107.714,107.72,0.006000000000000227,3,0.001,0.001,0.6793062924141866,CAD,JPY,Canadian Dollar vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
CHFJPY-,185.046,185.062,0.016000000000019554,3,0.001,0.001,0.6793062924141866,CHF,JPY,Swiss Frank vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
EURAUD-,1.78752,1.78769,0.00017000000000000348,5,0.00001,0.00001,0.6574600000000002,EUR,AUD,Euro vs Australian Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
EURCAD-,1.6061,1.6061999999999999,0.00009999999999976694,5,0.00001,0.00001,0.7316948247225049,EUR,CAD,Euro vs Canadian Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
XAUUSD-,3357.8,3358.09,0.2899999999999636,2,0.01,0.01,1.0,USD,USD,GOLD vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
